car,price,body,mileage,engV,engType,registration,year,model,drive
,,,,,,,,,
BMW,0,crossover,16,NA,Other,yes,2016,X5 M,
Bentley,0,crossover,1,6,Petrol,yes,2016,Bentayga,full
Lexus,0,crossover,11,5.7,Petrol,yes,2016,LX 570,full
Land Rover,0,crossover,1,5,Petrol,yes,2016,Range Rover,full
Mercedes-Benz,0,crossover,0,4.7,Petrol,yes,2016,GLS 500,full
Mercedes-Benz,0,other,0,4.7,Petrol,yes,2016,S 500,full
Mercedes-Benz,0,crossover,0,4.6,Petrol,yes,2016,GLS 500,full
Mercedes-Benz,0,crossover,0,4.6,Petrol,yes,2016,GLS 500,full
Toyota,0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Lexus,0,crossover,22,4.5,Diesel,yes,2016,LX 450,full
Toyota,0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Lexus,0,crossover,0,4.5,Diesel,yes,2016,LX 450,full
Toyota,0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Lexus,0,crossover,0,4.5,Diesel,yes,2016,LX 450,full
Toyota,0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
Lexus,0,crossover,0,4.5,Diesel,yes,2016,LX 450,full
Toyota,0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
Land Rover,0,crossover,0,4.4,Diesel,yes,2016,Range Rover,full
Land Rover,0,crossover,1,4.4,Diesel,yes,2016,Range Rover,full
Land Rover,0,crossover,1,4.4,Diesel,yes,2016,Range Rover,full
BMW,0,crossover,4,4.4,Petrol,yes,2016,X5 M,full
BMW,0,crossover,6,4.4,Petrol,yes,2016,X5 M,full
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLE-Class,full
Porsche,0,crossover,0,3,Diesel,yes,2016,Cayenne,full
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLS 350,full
BMW,0,crossover,5,3,Diesel,yes,2016,X6,full
Audi,0,crossover,1,3,Diesel,yes,2016,A6 Allroad,full
Audi,0,vagon,0,3,Diesel,yes,2016,A6 Allroad,full
Mercedes-Benz,0,crossover,1,3,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,0,3,Petrol,yes,2016,GLE-Class,full
BMW,0,crossover,0,3,Diesel,yes,2016,X5,full
Land Rover,0,crossover,0,3,Diesel,yes,2016,Range Rover Sport,full
Mercedes-Benz,0,crossover,1,3,Diesel,yes,2016,GLS 350,full
BMW,0,crossover,1,3,Diesel,yes,2016,X6,full
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLS 350,full
Land Rover,0,crossover,0,3,Other,yes,2016,Range Rover Sport,full
Mercedes-Benz,0,crossover,1,3,Diesel,yes,2016,GL 350,full
Mercedes-Benz,0,crossover,0,3,Petrol,yes,2016,GLS 400,full
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GL 350,full
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,1,3,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0,crossover,0,3,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,0,other,0,3,Other,yes,2016,S 400,full
Mercedes-Benz,0,sedan,0,3,Petrol,yes,2016,S 400,full
BMW,0,crossover,0,3,Diesel,yes,2016,X5,full
BMW,0,crossover,0,3,Diesel,yes,2016,X5,full
Mercedes-Benz,0,crossover,1,3,Petrol,yes,2016,GLE-Class,full
Mercedes-Benz,0,van,0,2.2,Diesel,yes,2016,V 250,full
Mercedes-Benz,0,van,0,2.2,Diesel,yes,2016,V 250,full
Mercedes-Benz,0,sedan,0,2.2,Diesel,yes,2016,V 250,full
Mercedes-Benz,0,van,0,2.2,Diesel,yes,2016,V 250,full
Hyundai,0,crossover,0,2.2,Diesel,yes,2016,Santa FE,full
Mercedes-Benz,0,crossover,0,2.2,Diesel,yes,2016,GLC-Class,full
Toyota,0,crossover,1,2.2,Diesel,yes,2016,Rav 4,full
Hyundai,0,crossover,0,2.2,Diesel,yes,2016,Santa FE,full
BMW,0,crossover,8,2,Diesel,yes,2016,X5,full
Lexus,0,crossover,1,2,Petrol,yes,2016,RX 200,full
Subaru,0,crossover,1,2,Diesel,yes,2016,Forester,full
BMW,0,crossover,0,2,Diesel,yes,2016,X5,full
Hyundai,0,crossover,0,2,Diesel,yes,2016,Tucson,full
Honda,0,crossover,1,1.6,Diesel,yes,2016,CR-V,full
VAZ,2100,sedan,85,NA,Other,yes,2016,2103,
UAZ,5500,crossover,1,2.4,Petrol,yes,2016,469,full
VAZ,7035.795,sedan,0,1.6,Petrol,yes,2016,2190 Гранта,front
VAZ,9151.35,vagon,0,1.7,Petrol,yes,2016,2121,full
Renault,9658.935,sedan,1,1.2,Petrol,yes,2016,Logan,front
Toyota,10500,hatch,17,1,Petrol,yes,2016,Yaris,front
VAZ,10740.795,crossover,0,1.7,Petrol,yes,2016,2121,full
Ford,10744.5,hatch,0,1.25,Petrol,yes,2016,Fiesta,front
Chery,11111.295,crossover,1,1.6,Petrol,yes,2016,Tiggo,front
Chevrolet,11280.79875,sedan,1,1.4,Petrol,yes,2016,Aveo,front
Renault,11403.99,sedan,0,1.2,Petrol,yes,2016,Logan,front
Peugeot,11596.65,sedan,0,1.2,Petrol,yes,2016,301,front
Toyota,11707.8,hatch,1,1,Petrol,yes,2016,Yaris,front
Volkswagen,12114.34965,sedan,0,1.6,Petrol,yes,2016,Polo,front
Peugeot,12782.25,hatch,0,1.2,Petrol,yes,2016,208,front
Hyundai,12800.775,hatch,0,1.4,Petrol,yes,2016,Solaris,front
Volkswagen,13300.95,sedan,0,1.6,Petrol,yes,2016,Polo,front
Renault,13300.95,vagon,0,1.5,Diesel,yes,2016,Logan,front
